Sample	total_reads	paired_total	paired_aligned_none	paired_aligned_one	paired_aligned_multi	paired_aligned_discord_one	paired_aligned_mate_none	paired_aligned_mate_one	paired_aligned_mate_multi	overall_alignment_rate	paired_aligned_mate_multi_halved	paired_aligned_mate_none_halved	paired_aligned_mate_one_halved
BSF_01	42491342	42491342	7789275	21695225	13006842	1694599	7439544	1056081	3693727	91.25	1846863.5	3719772.0	528040.5
BSF_03	41540368	41540368	9773580	20154970	11611818	1137368	12195750	1428757	3647917	85.32	1823958.5	6097875.0	714378.5
BSF_04	35223804	35223804	10331845	15509713	9382246	1077717	12853131	1607901	4047224	81.76	2023612.0	6426565.5	803950.5
BSF_05	43570175	43570175	13516292	18142159	11911724	943070	18165382	2100590	4880472	79.15	2440236.0	9082691.0	1050295.0
BSF_06	55877983	55877983	8411964	27697617	19768402	1332285	9684186	1067987	3407185	91.33	1703592.5	4842093.0	533993.5
BSF_07	42853246	42853246	7127381	20423322	15302543	1181026	7967176	890421	3035113	90.7	1517556.5	3983588.0	445210.5
BSF_08	51509463	51509463	8188630	24061402	19259431	1250977	9202094	1074542	3598670	91.07	1799335.0	4601047.0	537271.0
PCF_01	53957420	53957420	9181332	27429695	17346393	1640475	9992697	1267748	3821269	90.74	1910634.5	4996348.5	633874.0
PCF_02	46497439	46497439	6647886	25615362	14234191	1200366	7307938	914048	2673054	92.14	1336527.0	3653969.0	457024.0
PCF_03	50549698	50549698	7471804	28079607	14998287	1641132	7434642	996174	3230528	92.65	1615264.0	3717321.0	498087.0
PCF_04	57626237	57626237	8940545	31817113	16868579	2090067	8508581	1190598	4001777	92.62	2000888.5	4254290.5	595299.0
PCF_05	62697575	62697575	11481587	30345454	20870534	1696714	13223865	1525650	4820231	89.45	2410115.5	6611932.5	762825.0
PCF_06	49443270	49443270	9609056	22832344	17001870	1386457	10913051	1289708	4242439	88.96	2121219.5	5456525.5	644854.0
PCF_07	56683740	56683740	10665321	26193600	19824819	1515426	12282857	1355846	4661087	89.17	2330543.5	6141428.5	677923.0
