Sample	fastp_mqc-generalstats-fastp-pct_duplication	fastp_mqc-generalstats-fastp-after_filtering_q30_rate	fastp_mqc-generalstats-fastp-after_filtering_q30_bases	fastp_mqc-generalstats-fastp-after_filtering_gc_content	fastp_mqc-generalstats-fastp-pct_surviving	fastp_mqc-generalstats-fastp-pct_adapter	Bowtie 2_mqc-generalstats-bowtie_2-overall_alignment_rate	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION	QualiMap_mqc-generalstats-qualimap-avg_gc	QualiMap_mqc-generalstats-qualimap-median_insert_size	QualiMap_mqc-generalstats-qualimap-1_x_pc	QualiMap_mqc-generalstats-qualimap-5_x_pc	QualiMap_mqc-generalstats-qualimap-10_x_pc	QualiMap_mqc-generalstats-qualimap-30_x_pc	QualiMap_mqc-generalstats-qualimap-50_x_pc	QualiMap_mqc-generalstats-qualimap-median_coverage	QualiMap_mqc-generalstats-qualimap-percentage_aligned	QualiMap_mqc-generalstats-qualimap-mapped_reads	QualiMap_mqc-generalstats-qualimap-total_reads	QualiMap_mqc-generalstats-qualimap-general_error_rate	QualiMap_mqc-generalstats-qualimap-5_3_bias	QualiMap_mqc-generalstats-qualimap-reads_aligned	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned
BSF_01	4.30551	0.961119	6157130072.0	0.462134	98.37369957908082	0.21894112912447186	91.25	0.263024	47.075204515479605	304	76.20897023012508	63.31057456070342	56.76069976444866	44.76316164113675	38.26132884514886	19	88.48135752920875	57147442.0	64586986.0	1.7399999999999998	0.99	25321453.0	76.51908569018988	25092802
BSF_03	5.14691	0.959754	5987079424.0	0.432407	97.80369780403684	1.1064928271959114	85.32	0.37738	44.83670237175827	290	73.92406572230925	51.38702215912159	43.02924386002311	29.42640573986986	23.38992853030355	5	78.3495304214062	44134437.0	56330187.0	2.12	0.99	19724523.0	64.40413868680992	18651132
BSF_04	4.90731	0.955494	5062546532.0	0.420594	97.5694885237904	0.7539572938321331	81.76	0.409489	43.998984223082424	311	67.30281594005652	41.4604297008206	33.358843171840114	21.760038526823067	17.110519013767675	2	72.57312858054871	34010147.0	46863278.0	2.29	1.0	14773342.0	57.444453893672176	13968823
BSF_05	5.34875	0.961033	6291749628.0	0.412775	97.85429986731216	0.8848310947689372	79.15	0.485172	43.4825796751292	287	69.22970254620866	40.91346940795406	32.05168770800659	20.02781164957391	15.585812156250029	2	66.15713278899845	35510277.0	53675659.0	2.39	0.9	15595310.0	50.988400812814206	14311381
BSF_06	4.5154	0.959647	8020646023.0	0.463788	97.83230076961854	1.7994754822844308	91.33	0.305594	47.38459356930541	285	78.77495651377077	64.47389658481552	57.71147368519704	44.678648679218135	37.81916492258115	19	87.97943211603425	70879279.0	80563465.0	1.79	1.07	32714594.0	76.67905792549948	31320739
BSF_07	4.1443	0.959346	6144205916.0	0.460001	97.67258949259754	1.879600221386589	90.7	0.275389	47.273737507308034	282	77.09792946590396	60.683262020330616	53.55753776430476	40.12397102177552	33.03088468139776	13	87.60896775510001	56330744.0	64297920.0	1.7999999999999998	1.05	25706764.0	75.69858117090054	24679963
BSF_08	4.57403	0.957309	7402920179.0	0.461814	97.80040587876375	1.2112870781513705	91.07	0.311924	47.16251742874489	297	79.89710428498346	62.375167534606135	55.23254415726021	41.9724239860614	35.1740259910271	15	87.52345818764014	64553071.0	73755165.0	1.8399999999999999	1.04	29586262.0	75.33487508399958	28220454
PCF_01	4.0465800000000005	0.969808	7851963763.0	0.46177	98.27505552733281	0.15490535819910692	90.74	0.211431	47.063039021637884	284	81.23432163936948	70.22722425634817	64.01105504021004	52.680516508155584	46.058969206161294	37	88.5419358771328	77218344.0	87211041.0	1.6400000000000001	1.02	35261857.0	76.50762652253414	33823213
PCF_02	4.0658	0.966443	6754882852.0	0.464817	98.21935609631376	0.13987417893337326	92.14	0.237176	47.36578559635041	284	70.863276835822	59.060874472999565	53.82209479782269	43.088403181299256	36.858696816920585	15	89.94394126265153	65364052.0	72671990.0	1.58	0.98	30370883.0	79.57717171510856	29298061
PCF_03	4.4002	0.967714	7344256707.0	0.46706	98.20911357265052	0.14254492010665165	92.65	0.291553	47.53401928617454	289	74.13211136025083	58.20343745383795	52.33555476448362	40.978908875108104	34.592974894441234	12	89.92475236769218	66356517.0	73791159.0	1.5599999999999998	0.99	30322914.0	79.66443728678273	29812197
PCF_04	4.724629999999999	0.964611	8344289546.0	0.466875	97.89353767368702	0.16020559970612694	92.62	0.337993	47.50037469589757	292	72.07332433534462	54.5240951073424	48.84731430664834	38.25606522505459	32.57019767558735	8	89.2532868007671	70665217.0	79173798.0	1.5599999999999998	0.99	31899879.0	78.6423716235578	31626467
PCF_05	4.65469	0.968314	9127828877.0	0.453217	98.44569897344014	0.19469606815909	89.45	0.295695	46.53335922374396	292	71.86951587438895	58.008239710069	52.97991310340908	43.011643087979216	37.44702227118736	14	85.66155878337864	79002792.0	92226657.0	1.77	0.98	35977135.0	73.17231278174047	34383871
PCF_06	4.42575	0.967976	7207096698.0	0.449094	98.341163509058	0.23733380368487658	88.96	0.269378	46.245576762654466	300	75.31424159069128	58.822288433587815	53.063811191195164	41.83419135547465	35.308666070734624	13	85.48573078977351	64275378.0	75188429.0	1.82	0.97	29084633.0	72.19590059527265	27673537
PCF_07	4.55208	0.968748	8235961612.0	0.45001	98.05674661500794	0.23100458390233805	89.17	0.318476	46.23014494621322	284	74.60977682597907	55.710348465534494	49.98510913693539	39.24305969500557	33.242954273843814	9	84.86857098958751	68891611.0	81174468.0	1.83	0.95	31226882.0	71.33036689573328	29528724
