Sample	Total	Assigned	Unassigned_Unmapped	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
BSF_01	1319437	834306	383871	0	33553	0	0	0	0	0	67707	0	0	63.23196939300626
BSF_03	1128030	497408	547591	0	28258	0	0	0	0	0	54773	0	0	44.09528115387002
BSF_04	979082	367301	541499	0	26674	0	0	0	0	0	43608	0	0	37.51483532533537
BSF_05	1154596	356584	723922	0	29084	0	0	0	0	0	45006	0	0	30.88387626494462
BSF_06	1229859	751141	391843	0	22132	0	0	0	0	0	64743	0	0	61.07537530725067
BSF_07	935707	576223	289505	0	18613	0	0	0	0	0	51366	0	0	61.581563459501744
BSF_08	1241501	745515	403404	0	27260	0	0	0	0	0	65322	0	0	60.04948848208741
PCF_01	2101088	1267847	650101	0	78247	0	0	0	0	0	104893	0	0	60.34240355472974
PCF_02	1095539	689765	333695	0	19635	0	0	0	0	0	52444	0	0	62.961245560404514
PCF_03	1149161	687860	389424	0	22731	0	0	0	0	0	49146	0	0	59.857583054071625
PCF_04	1198707	684995	441535	0	24275	0	0	0	0	0	47902	0	0	57.14448985448487
PCF_05	1375238	756863	524309	0	27521	0	0	0	0	0	66545	0	0	55.035055750350125
PCF_06	1145281	639001	415928	0	32837	0	0	0	0	0	57515	0	0	55.794254859724376
PCF_07	1240213	631238	522551	0	26531	0	0	0	0	0	59893	0	0	50.897547437415994
