Sample	LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
BSF_01	Unknown Library	89275.0	1395083.0	0.0	678467.0	39638.0	459517.0	1759.0	0.332937	1624876.0
BSF_03	Unknown Library	115193.0	1156577.0	0.0	979989.0	73780.0	576138.0	1480.0	0.504893	730963.0
BSF_04	Unknown Library	118923.0	944012.0	0.0	964075.0	83660.0	506429.0	1124.0	0.546361	524468.0
BSF_05	Unknown Library	152383.0	1131791.0	0.0	1295461.0	116644.0	701117.0	1405.0	0.628684	474485.0
BSF_06	Unknown Library	81103.0	1384741.0	0.0	702583.0	39499.0	546725.0	1474.0	0.397444	1254500.0
BSF_07	Unknown Library	62775.0	1016030.0	0.0	516235.0	28803.0	369828.0	1061.0	0.366835	1032662.0
BSF_08	Unknown Library	92829.0	1384085.0	0.0	713979.0	48221.0	545988.0	1269.0	0.398531	1255265.0
PCF_01	Unknown Library	134122.0	1998631.0	0.0	1166080.0	60606.0	547644.0	461.0	0.279784	2946483.0
PCF_02	Unknown Library	65499.0	1124393.0	0.0	601891.0	29868.0	362549.0	193.0	0.32622	1344594.0
PCF_03	Unknown Library	75766.0	1312384.0	0.0	703082.0	40226.0	552647.0	275.0	0.424183	1080615.0
PCF_04	Unknown Library	91612.0	1470967.0	0.0	791458.0	56093.0	713795.0	278.0	0.489092	970303.0
PCF_05	Unknown Library	99237.0	1444783.0	0.0	949381.0	52278.0	593854.0	283.0	0.414877	1233077.0
PCF_06	Unknown Library	89883.0	1160631.0	0.0	741973.0	44371.0	431278.0	237.0	0.37614	1144813.0
PCF_07	Unknown Library	96692.0	1312996.0	0.0	948410.0	55097.0	595334.0	327.0	0.45755	965686.0
