Sample	c_carpio counts	c_carpio percentage	total_reads	T_bruceik counts	T_bruceik percentage	T_brucei427 counts	T_brucei427 percentage	LmajorFriedlin counts	LmajorFriedlin percentage	LinfantumJPCM5 counts	LinfantumJPCM5 percentage	L_donovaniLV9 counts	L_donovaniLV9 percentage	L_donovaniCLSL counts	L_donovaniCLSL percentage	S_pombe counts	S_pombe percentage	P_falciparum counts	P_falciparum percentage	P_know counts	P_know percentage	T_brucei counts	T_brucei percentage	T_cruzi counts	T_cruzi percentage	L_donovani counts	L_donovani percentage	O_sativa counts	O_sativa percentage	P_vera counts	P_vera percentage	Mouse counts	Mouse percentage	Rat counts	Rat percentage	Drosophila counts	Drosophila percentage	Worm counts	Worm percentage	Yeast counts	Yeast percentage	Arabidopsis counts	Arabidopsis percentage	Ecoli counts	Ecoli percentage	rRNA counts	rRNA percentage	MT counts	MT percentage	PhiX counts	PhiX percentage	Lambda counts	Lambda percentage	Vectors counts	Vectors percentage	Adapters counts	Adapters percentage	No hits counts	No hits percentage
BSF_01	2499	0.08	3142930	739	0.02	2911490	92.63999999999999	123	0.0	132	0.0	93	0.0	147	0.0	38	0.0	787	0.02	271	0.0	2911490	92.63999999999999	136	0.0	111	0.0	323	0.01	1177	0.04	2253	0.07	2677	0.08	616	0.02	177	0.0	23	0.0	180	0.0	4399	0.13999999999999999	2	0.0	0	0.0	0	0.0	0	0.0	14633	0.4700000000000001	0	0.0	216862	6.9
BSF_03	3408	0.06	5234279	886	0.02	5004665	95.61	383	0.01	365	0.0	401	0.01	424	0.0	51	0.0	1825	0.03	477	0.01	5004665	95.61	181	0.0	368	0.0	542	0.01	1390	0.02	4459	0.08	3267	0.05	630	0.01	562	0.01	24	0.0	291	0.0	19	0.0	5	0.0	5	0.0	0	0.0	0	0.0	352	0.0	0	0.0	228214	4.36
BSF_04	3352	0.06	5478295	775	0.02	5261822	96.05	331	0.0	560	0.01	500	0.01	427	0.01	64	0.0	2253	0.04	442	0.0	5261822	96.05	193	0.0	371	0.0	673	0.01	1499	0.03	5303	0.09	3314	0.06	555	0.01	728	0.01	18	0.0	297	0.0	7	0.0	3	0.0	2	0.0	0	0.0	0	0.0	377	0.0	0	0.0	215296	3.93
BSF_05	13495	0.17	7792771	1069	0.02	7499308	96.24000000000001	5605	0.07	1307	0.02	3575	0.04	2150	0.02	50	0.0	9150	0.12000000000000001	14616	0.19	7499308	96.24000000000001	364	0.0	2213	0.03	16923	0.22	16577	0.21	26384	0.33999999999999997	21877	0.28	10117	0.13	1373	0.02	85	0.0	555	0.0	5	0.0	0	0.0	4	0.0	0	0.0	15	0.0	478	0.0	0	0.0	275084	3.53
BSF_06	53017	1.26	4202150	658023	15.66	3867227	92.03	14505	0.34	3243	0.08	8338	0.2	5407	0.13	3213	0.07	44142	1.05	80320	1.92	3867227	92.03	6252	0.14	7141	0.17	89178	2.12	81132	1.93	105740	2.52	104969	2.5	53375	1.27	5079	0.12	5311	0.12	4734	0.12	751	0.01	24	0.0	1771	0.04	0	0.0	6096	0.15	6415	0.15000000000000002	0	0.0	229017	5.45
BSF_07	113739	3.2800000000000002	3461673	972	0.02	2945703	85.09	15731	0.46	3095	0.09	6816	0.2	5140	0.15000000000000002	74	0.0	94902	2.74	236670	6.84	2945703	85.09	240	0.0	9104	0.26	279653	8.08	189683	5.48	292169	8.44	286946	8.290000000000001	112884	3.26	1152	0.03	447	0.01	841	0.02	1345	0.04	0	0.0	14	0.0	0	0.0	7340	0.21	7756	0.23	0	0.0	214623	6.2
BSF_08	2902	0.07	3943999	961	0.02	3671981	93.11	158	0.0	212	0.0	354	0.01	250	0.0	33	0.0	1220	0.03	339	0.0	3671981	93.11	97	0.0	183	0.0	396	0.01	2001	0.04	2694	0.07	3085	0.07	889	0.03	246	0.0	41	0.0	200	0.0	103	0.0	0	0.0	1	0.0	0	0.0	0	0.0	983	0.03	0	0.0	270163	6.85
PCF_01	3361	0.07	4307066	943	0.02	4001359	92.9	194	0.0	168	0.0	161	0.0	201	0.0	48	0.0	1075	0.02	324	0.0	4001359	92.9	211	0.0	172	0.0	468	0.02	1654	0.04	2988	0.07	3330	0.08	882	0.02	337	0.01	41	0.0	239	0.0	10838	0.25	1	0.0	6	0.0	0	0.0	72	0.0	12566	0.3	0	0.0	285989	6.64
PCF_02	12111	0.39	3109243	465466	14.98	2942019	94.62	1789	0.060000000000000005	1152	0.03	1944	0.060000000000000005	1379	0.04	1441	0.05	8258	0.27	3787	0.12	2942019	94.62	4296	0.14	1405	0.05	4194	0.13	6066	0.19	12396	0.39	12130	0.38	4272	0.13	2162	0.07	2165	0.07	1993	0.060000000000000005	630	0.02	11	0.0	531	0.01	0	0.0	26	0.0	932	0.03	0	0.0	157327	5.06
PCF_03	10296	0.32	3131477	484954	15.48	2942473	93.96000000000001	1658	0.05	1138	0.04	1732	0.060000000000000005	1360	0.04	1118	0.03	6337	0.2	2937	0.09000000000000001	2942473	93.96000000000001	2879	0.09	1352	0.05	3505	0.11	5123	0.17	10863	0.35	10096	0.32	3352	0.1	1832	0.06	1808	0.060000000000000005	1725	0.05	404	0.01	9	0.0	372	0.01	0	0.0	4	0.0	722	0.01	0	0.0	179746	5.74
