Sample	Total	Assigned	Unassigned_Unmapped	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
BSF_01	42491342	33955223	4296614	0	1188460	0	0	0	0	0	3051045	0	0	79.91092161786747
BSF_03	41540368	29273677	6961471	0	1278438	0	0	0	0	0	4026782	0	0	70.47043252000078
BSF_04	35223804	22657009	7374836	0	1443931	0	0	0	0	0	3748028	0	0	64.32300440917739
BSF_05	43570175	26222620	10372611	0	1797661	0	0	0	0	0	5177283	0	0	60.184793841199856
BSF_06	55877983	44919011	5482036	0	1110791	0	0	0	0	0	4366145	0	0	80.38767433677769
BSF_07	42853246	33889610	4505503	0	992255	0	0	0	0	0	3465878	0	0	79.08294741546533
BSF_08	51509463	40892331	5258095	0	1197269	0	0	0	0	0	4161768	0	0	79.38799711423898
PCF_01	53957420	42726308	5685631	0	1503457	0	0	0	0	0	4042024	0	0	79.18523161411349
PCF_02	46497439	38229495	4198695	0	913813	0	0	0	0	0	3155436	0	0	82.21849594770156
PCF_03	50549698	42033596	4303165	0	1073434	0	0	0	0	0	3139503	0	0	83.15301112184686
PCF_04	57626237	47795165	4938583	0	1339630	0	0	0	0	0	3552859	0	0	82.93993758433334
PCF_06	49443270	37564060	6270525	0	1457714	0	0	0	0	0	4150971	0	0	75.97406077712901
PCF_07	56683740	43058112	7017978	0	1545079	0	0	0	0	0	5062571	0	0	75.96201662063936
