Sample	fastp_mqc-generalstats-fastp-pct_duplication	fastp_mqc-generalstats-fastp-after_filtering_q30_rate	fastp_mqc-generalstats-fastp-after_filtering_q30_bases	fastp_mqc-generalstats-fastp-after_filtering_gc_content	fastp_mqc-generalstats-fastp-pct_surviving	fastp_mqc-generalstats-fastp-pct_adapter	Bowtie 2_mqc-generalstats-bowtie_2-overall_alignment_rate	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION	QualiMap_mqc-generalstats-qualimap-avg_gc	QualiMap_mqc-generalstats-qualimap-median_insert_size	QualiMap_mqc-generalstats-qualimap-1_x_pc	QualiMap_mqc-generalstats-qualimap-5_x_pc	QualiMap_mqc-generalstats-qualimap-10_x_pc	QualiMap_mqc-generalstats-qualimap-30_x_pc	QualiMap_mqc-generalstats-qualimap-50_x_pc	QualiMap_mqc-generalstats-qualimap-median_coverage	QualiMap_mqc-generalstats-qualimap-percentage_aligned	QualiMap_mqc-generalstats-qualimap-mapped_reads	QualiMap_mqc-generalstats-qualimap-total_reads	QualiMap_mqc-generalstats-qualimap-general_error_rate	QualiMap_mqc-generalstats-qualimap-5_3_bias	QualiMap_mqc-generalstats-qualimap-reads_aligned	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned
BSF_01	4.30551	0.961119	6157130072.0	0.462134	98.37369957908082	0.21894112912447186	91.25	0.263024	47.18368276385836	303	76.21476442709177	63.55313992665841	57.14590353249652	45.55390217223626	39.39262782774539	20	91.24581191151835	77543140.0	84982684.0	1.73	1.01	34702067.0	79.91092161786747	33955223
BSF_03	5.14691	0.959754	5987079424.0	0.432407	97.80369780403684	1.1064928271959114	85.32	0.37738	44.503262264229136	288	73.9302293396217	51.68699147987758	43.45705493439219	30.178114160209123	24.297762914352646	5	85.32060428545071	70884986.0	83080736.0	2.21	1.03	31766788.0	70.47043252000078	29273677
BSF_04	4.90731	0.955494	5062546532.0	0.420594	97.5694885237904	0.7539572938321331	81.76	0.409489	43.468424556805836	310	67.30961426615094	41.75532878931432	33.75942623119496	22.374481255735624	17.860328266423373	2	81.75504979530321	57594477.0	70447608.0	2.4699999999999998	0.96	24891959.0	64.32300440917739	22657009
BSF_05	5.34875	0.961033	6291749628.0	0.412775	97.85429986731216	0.8848310947689372	79.15	0.485172	42.84807869380893	285	69.2371182257668	41.24878159467507	32.4789111808861	20.63628166967484	16.28716783966304	2	79.15387991900423	68974968.0	87140350.0	2.64	0.87	30053883.0	60.184793841199856	26222620
BSF_06	4.5154	0.959647	8020646023.0	0.463788	97.83230076961854	1.7994754822844308	91.33	0.305594	47.476332466925996	283	78.7808325286664	64.7070851202493	58.080871716975025	45.41655714221181	38.843170848381014	20	91.3345243689272	102071780.0	111755966.0	1.7999999999999998	1.12	47466019.0	80.38767433677769	44919011
BSF_07	4.1443	0.959346	6144205916.0	0.460001	97.67258949259754	1.879600221386589	90.7	0.275389	47.28027287648386	280	77.1038277947802	60.919832363493356	53.918265574947725	40.864574517761405	34.014301476456595	14	90.70411608959564	77739316.0	85706492.0	1.82	1.07	35725865.0	79.08294741546533	33889610
BSF_08	4.57403	0.957309	7402920179.0	0.461814	97.80040587876375	1.2112870781513705	91.07	0.311924	47.25301690862342	296	79.90289848195015	62.62116677424485	55.618873541663596	42.75869924170647	36.22671529924362	16	91.06756946776945	93816832.0	103018926.0	1.8499999999999999	1.05	43320833.0	79.38799711423898	40892331
PCF_01	4.0465800000000005	0.969808	7851963763.0	0.46177	98.27505552733281	0.15490535819910692	90.74	0.211431	47.11572536428637	285	81.23956046615194	70.40732039390225	64.29790374036365	53.29659807497785	46.96211269561861	39	90.74020125498959	97922143.0	107914840.0	1.6500000000000001	1.05	44776088.0	79.18523161411349	42726308
PCF_02	4.0658	0.966443	6754882852.0	0.464817	98.21935609631376	0.13987417893337326	92.14	0.237176	47.41175605881727	285	70.8697776421749	59.231692953279634	54.106898049753134	43.70574920702311	37.71982308087742	16	92.14156934535684	85686940.0	92994878.0	1.6099999999999999	1.02	39849553.0	82.21849594770156	38229495
PCF_03	4.4002	0.967714	7344256707.0	0.46706	98.20911357265052	0.14254492010665165	92.65	0.291553	47.5922830986627	291	74.13862208392844	58.39190133412315	52.64108522507542	41.58870533739012	35.44171441982485	13	92.64620532451055	93664754.0	101099396.0	1.59	1.02	43077894.0	83.15301112184686	42033596
PCF_04	4.724629999999999	0.964611	8344289546.0	0.466875	97.89353767368702	0.16020559970612694	92.62	0.337993	47.560615040780384	293	72.0802615039851	54.71600525796722	49.13531589580045	38.83339236620872	33.34769857818787	9	92.61744177396139	106743893.0	115252474.0	1.6099999999999999	0.98	48685692.0	82.93993758433334	47795165
PCF_06	4.42575	0.967976	7207096698.0	0.449094	98.341163509058	0.23733380368487658	88.96	0.269378	46.181893555606095	302	75.32067297577113	59.02630763769375	53.37189288357076	42.486220745069765	36.230032644361906	14	88.96406831506087	87973489.0	98886540.0	1.8599999999999999	0.93	39834214.0	75.97406077712901	37564060
PCF_07	4.55208	0.968748	8235961612.0	0.45001	98.05674661500794	0.23100458390233805	89.17	0.318476	46.205931033677246	287	74.61729415811558	55.899533831192954	50.273085932775714	39.83881818414876	34.066250902662496	10	89.16544938636723	101084623.0	113367480.0	1.8599999999999999	0.93	46018419.0	75.96201662063936	43058112
